train_steps,agent_steps,return,env_steps,env,run
2000,33219.0,-20.8,132876.0,atari_pong,atari_pong_dreamerv2_base
4000,84577.5,-20.7,338310.0,atari_pong,atari_pong_dreamerv2_base
6000,120423.5,-20.2,481694.0,atari_pong,atari_pong_dreamerv2_base
8000,161504.5,-16.7,646018.0,atari_pong,atari_pong_dreamerv2_base
10000,198894.0,-19.8,795576.0,atari_pong,atari_pong_dreamerv2_base
12000,236253.0,-14.0,945012.0,atari_pong,atari_pong_dreamerv2_base
14000,273463.5,-18.1,1093854.0,atari_pong,atari_pong_dreamerv2_base
16000,307634.5,-7.6,1230538.0,atari_pong,atari_pong_dreamerv2_base
18000,346562.0,-7.2,1386248.0,atari_pong,atari_pong_dreamerv2_base
20000,388870.5,-4.8,1555482.0,atari_pong,atari_pong_dreamerv2_base
22000,429290.5,-3.4,1717162.0,atari_pong,atari_pong_dreamerv2_base
24000,470475.5,-0.2,1881902.0,atari_pong,atari_pong_dreamerv2_base
26000,512607.5,1.6,2050430.0,atari_pong,atari_pong_dreamerv2_base
28000,551647.0,5.8,2206588.0,atari_pong,atari_pong_dreamerv2_base
30000,591713.0,8.6,2366852.0,atari_pong,atari_pong_dreamerv2_base
32000,630099.0,12.2,2520396.0,atari_pong,atari_pong_dreamerv2_base
34000,670322.0,15.7,2681288.0,atari_pong,atari_pong_dreamerv2_base
36000,708251.5,16.9,2833006.0,atari_pong,atari_pong_dreamerv2_base
38000,742828.0,18.1,2971312.0,atari_pong,atari_pong_dreamerv2_base
40000,780189.0,19.2,3120756.0,atari_pong,atari_pong_dreamerv2_base
42000,821045.5,20.2,3284182.0,atari_pong,atari_pong_dreamerv2_base
44000,863069.5,19.5,3452278.0,atari_pong,atari_pong_dreamerv2_base
46000,902248.0,18.7,3608992.0,atari_pong,atari_pong_dreamerv2_base
48000,942266.5,19.0,3769066.0,atari_pong,atari_pong_dreamerv2_base
50000,979504.5,18.8,3918018.0,atari_pong,atari_pong_dreamerv2_base
52000,1018891.5,19.2,4075566.0,atari_pong,atari_pong_dreamerv2_base
54000,1054408.0,19.9,4217632.0,atari_pong,atari_pong_dreamerv2_base
56000,1090506.5,18.6,4362026.0,atari_pong,atari_pong_dreamerv2_base
58000,1131424.0,19.8,4525696.0,atari_pong,atari_pong_dreamerv2_base
60000,1171430.0,19.6,4685720.0,atari_pong,atari_pong_dreamerv2_base
62000,1208522.0,19.2,4834088.0,atari_pong,atari_pong_dreamerv2_base
64000,1246363.5,20.2,4985454.0,atari_pong,atari_pong_dreamerv2_base
66000,1287437.5,20.2,5149750.0,atari_pong,atari_pong_dreamerv2_base
68000,1325962.0,19.9,5303848.0,atari_pong,atari_pong_dreamerv2_base
70000,1365675.0,19.2,5462700.0,atari_pong,atari_pong_dreamerv2_base
72000,1406246.5,20.0,5624986.0,atari_pong,atari_pong_dreamerv2_base
74000,1443123.0,18.6,5772492.0,atari_pong,atari_pong_dreamerv2_base
76000,1482422.5,19.8,5929690.0,atari_pong,atari_pong_dreamerv2_base
