train_steps,agent_steps,return,env_steps,env,run
2000,2319654.4,-20.9,9278617.6,atari_pong,atari_pong_gae_vtrace
4000,84893.0,-20.5,339572.0,atari_pong,atari_pong_gae_vtrace
6000,125693.0,-20.1,502772.0,atari_pong,atari_pong_gae_vtrace
8000,162142.0,-17.9,648568.0,atari_pong,atari_pong_gae_vtrace
10000,200578.0,-15.3,802312.0,atari_pong,atari_pong_gae_vtrace
12000,238162.5,-14.3,952650.0,atari_pong,atari_pong_gae_vtrace
14000,275258.5,-14.0,1101034.0,atari_pong,atari_pong_gae_vtrace
16000,312493.0,-11.7,1249972.0,atari_pong,atari_pong_gae_vtrace
18000,353293.0,-10.1,1413172.0,atari_pong,atari_pong_gae_vtrace
20000,387379.0,-4.4,1549516.0,atari_pong,atari_pong_gae_vtrace
22000,420488.0,-4.6,1681952.0,atari_pong,atari_pong_gae_vtrace
24000,454274.5,-5.5,1817098.0,atari_pong,atari_pong_gae_vtrace
26000,487176.0,-4.9,1948704.0,atari_pong,atari_pong_gae_vtrace
28000,519879.0,-5.2,2079516.0,atari_pong,atari_pong_gae_vtrace
30000,553209.5,-6.4,2212838.0,atari_pong,atari_pong_gae_vtrace
32000,586409.0,-7.7,2345636.0,atari_pong,atari_pong_gae_vtrace
34000,621538.5,-1.2,2486154.0,atari_pong,atari_pong_gae_vtrace
36000,654107.5,6.1,2616430.0,atari_pong,atari_pong_gae_vtrace
38000,687463.0,10.3,2749852.0,atari_pong,atari_pong_gae_vtrace
40000,720063.5,12.1,2880254.0,atari_pong,atari_pong_gae_vtrace
42000,754028.5,13.2,3016114.0,atari_pong,atari_pong_gae_vtrace
44000,784936.0,12.4,3139744.0,atari_pong,atari_pong_gae_vtrace
46000,816803.0,14.4,3267212.0,atari_pong,atari_pong_gae_vtrace
48000,853120.5,12.8,3412482.0,atari_pong,atari_pong_gae_vtrace
50000,895433.0,12.8,3581732.0,atari_pong,atari_pong_gae_vtrace
52000,932668.5,12.2,3730674.0,atari_pong,atari_pong_gae_vtrace
54000,972618.0,15.4,3890472.0,atari_pong,atari_pong_gae_vtrace
56000,1012943.5,11.6,4051774.0,atari_pong,atari_pong_gae_vtrace
58000,1053794.5,12.4,4215178.0,atari_pong,atari_pong_gae_vtrace
60000,1094372.0,13.4,4377488.0,atari_pong,atari_pong_gae_vtrace
62000,1135220.0,11.1,4540880.0,atari_pong,atari_pong_gae_vtrace
64000,1174411.5,12.4,4697646.0,atari_pong,atari_pong_gae_vtrace
66000,1214698.5,13.0,4858794.0,atari_pong,atari_pong_gae_vtrace
68000,1252301.0,14.5,5009204.0,atari_pong,atari_pong_gae_vtrace
70000,1292639.5,14.2,5170558.0,atari_pong,atari_pong_gae_vtrace
72000,1330115.5,15.8,5320462.0,atari_pong,atari_pong_gae_vtrace
74000,1370571.0,15.6,5482284.0,atari_pong,atari_pong_gae_vtrace
76000,1412075.0,15.6,5648300.0,atari_pong,atari_pong_gae_vtrace
78000,1452755.5,15.5,5811022.0,atari_pong,atari_pong_gae_vtrace
80000,1487478.0,15.4,5949912.0,atari_pong,atari_pong_gae_vtrace
82000,1521241.5,14.4,6084966.0,atari_pong,atari_pong_gae_vtrace
84000,1557454.5,16.2,6229818.0,atari_pong,atari_pong_gae_vtrace
86000,1597466.0,16.3,6389864.0,atari_pong,atari_pong_gae_vtrace
88000,1635897.0,14.2,6543588.0,atari_pong,atari_pong_gae_vtrace
90000,1675064.0,16.2,6700256.0,atari_pong,atari_pong_gae_vtrace
92000,1713202.5,15.4,6852810.0,atari_pong,atari_pong_gae_vtrace
94000,1748687.0,16.2,6994748.0,atari_pong,atari_pong_gae_vtrace
96000,1782328.5,16.2,7129314.0,atari_pong,atari_pong_gae_vtrace
98000,1817212.5,15.7,7268850.0,atari_pong,atari_pong_gae_vtrace
100000,1854528.0,15.5,7418112.0,atari_pong,atari_pong_gae_vtrace
102000,1888717.5,16.0,7554870.0,atari_pong,atari_pong_gae_vtrace
104000,1926981.5,10.8,7707926.0,atari_pong,atari_pong_gae_vtrace
106000,1962940.0,15.0,7851760.0,atari_pong,atari_pong_gae_vtrace
108000,1998359.5,16.1,7993438.0,atari_pong,atari_pong_gae_vtrace
110000,2031608.5,16.4,8126434.0,atari_pong,atari_pong_gae_vtrace
112000,2066150.5,16.8,8264602.0,atari_pong,atari_pong_gae_vtrace
114000,2102209.5,15.1,8408838.0,atari_pong,atari_pong_gae_vtrace
116000,2137725.5,15.6,8550902.0,atari_pong,atari_pong_gae_vtrace
118000,2174190.5,15.5,8696762.0,atari_pong,atari_pong_gae_vtrace
120000,2209672.5,15.4,8838690.0,atari_pong,atari_pong_gae_vtrace
