train_steps,agent_steps,return,env_steps,env,run
2000,36030.6,-20.8,144122.4,atari_pong,atari_pong_ppo
4000,103765.0,-20.3,415060.0,atari_pong,atari_pong_ppo
6000,162976.0,-20.1,651904.0,atari_pong,atari_pong_ppo
8000,227281.5,-19.4,909126.0,atari_pong,atari_pong_ppo
10000,293191.0,-19.7,1172764.0,atari_pong,atari_pong_ppo
12000,359023.0,-20.4,1436092.0,atari_pong,atari_pong_ppo
14000,421781.5,-19.4,1687126.0,atari_pong,atari_pong_ppo
16000,485438.0,-18.3,1941752.0,atari_pong,atari_pong_ppo
18000,549230.0,-20.0,2196920.0,atari_pong,atari_pong_ppo
20000,611767.0,-20.2,2447068.0,atari_pong,atari_pong_ppo
22000,674618.0,-20.3,2698472.0,atari_pong,atari_pong_ppo
24000,737907.5,-20.2,2951630.0,atari_pong,atari_pong_ppo
26000,804366.5,-20.2,3217466.0,atari_pong,atari_pong_ppo
28000,869407.5,-20.2,3477630.0,atari_pong,atari_pong_ppo
30000,934411.5,-20.0,3737646.0,atari_pong,atari_pong_ppo
32000,997880.0,-20.1,3991520.0,atari_pong,atari_pong_ppo
34000,1062355.5,-20.2,4249422.0,atari_pong,atari_pong_ppo
36000,1126925.0,-20.2,4507700.0,atari_pong,atari_pong_ppo
38000,1192477.5,-20.2,4769910.0,atari_pong,atari_pong_ppo
40000,1255190.0,-20.3,5020760.0,atari_pong,atari_pong_ppo
42000,1320900.5,-20.1,5283602.0,atari_pong,atari_pong_ppo
44000,1382635.0,-20.0,5530540.0,atari_pong,atari_pong_ppo
46000,1443878.0,-20.3,5775512.0,atari_pong,atari_pong_ppo
48000,1509925.0,-20.2,6039700.0,atari_pong,atari_pong_ppo
50000,1575608.0,-20.1,6302432.0,atari_pong,atari_pong_ppo
52000,1639534.5,-20.1,6558138.0,atari_pong,atari_pong_ppo
54000,1701176.5,-20.3,6804706.0,atari_pong,atari_pong_ppo
56000,1766379.5,-20.1,7065518.0,atari_pong,atari_pong_ppo
58000,1827888.5,-20.2,7311554.0,atari_pong,atari_pong_ppo
60000,1888103.0,-20.2,7552412.0,atari_pong,atari_pong_ppo
62000,1951205.0,-20.1,7804820.0,atari_pong,atari_pong_ppo
64000,2014655.0,-19.8,8058620.0,atari_pong,atari_pong_ppo
66000,2077677.5,-19.3,8310710.0,atari_pong,atari_pong_ppo
68000,2142947.5,-18.9,8571790.0,atari_pong,atari_pong_ppo
70000,2207976.0,-18.3,8831904.0,atari_pong,atari_pong_ppo
72000,2270618.5,-18.9,9082474.0,atari_pong,atari_pong_ppo
74000,2334286.0,-18.8,9337144.0,atari_pong,atari_pong_ppo
76000,2394982.5,-17.9,9579930.0,atari_pong,atari_pong_ppo
78000,2460093.0,-17.8,9840372.0,atari_pong,atari_pong_ppo
80000,2525808.0,-17.4,10103232.0,atari_pong,atari_pong_ppo
82000,2584930.0,-16.5,10339720.0,atari_pong,atari_pong_ppo
